form	lemma	POS	morph
༼		PUNCT
		
༽༄༅། །		PUNCT
མཐར་གྱིས་	མཐར་གྱིས་	NO_POS
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
སྙོམས་པ་		
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
སྙོམས་འཇུག་	སྙོམས་འཇུག་	NO_POS
རབ་གསལ་	རབ་གསལ་	PROPN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"།། 

༼"		PUNCT
		
༽༄༅། །		PUNCT
མཐར་གྱིས་	མཐར་གྱིས་	NO_POS
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
སྙོམས་པ་		
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
སྙོམས་འཇུག་	སྙོམས་འཇུག་	NO_POS
རབ་གསལ་	རབ་གསལ་	PROPN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
ལྷག་པ་	ལྷག་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
རྟོག་དཔྱོད་	རྟོག་དཔྱོད་	NO_POS
མི་	མི་	PART
ཡི་	གིས་	PART
འདོད་	འདོད་	VERB
ལ་	ལ་	PART
འདུན་	འདུན་	VERB
དང་	དང་	NO_POS
རྣམ་	རྣམ་	NOUN
འཚེའི་		NON_WORD
བུད་ཤིང་	བུད་ཤིང་	NOUN
རབ་	རབ་	ADV
བསྲེགས་	བསྲེགས་	NO_POS
དེ་ཉིད་	དེ་ཉིད་	NOUN
རབ་	རབ་	ADV
དྭང་		NON_WORD
ཆུ་	ཆུ་	NOUN
ཡི་	གིས་	PART
སྦྱངས་	སྦྱངས་	VERB
། །		PUNCT
དགའ་བདེ་	དགའ་བདེ་	NOUN
འི་	གི་	PART
རླན་	རླན་	NO_POS
བྱེད་	བྱེད་	VERB
དྲན་	དྲན་	VERB
དང་	དང་	NO_POS
ཤེས་བཞིན་	ཤེས་བཞིན་	NO_POS
འོད་	འོད་	NOUN
ཀྱིས་	གིས་	PART
རྣམ་	རྣམ་	NOUN
སྐེམས་	སྐེམས་	NO_POS
བདེ་བ་	བདེ་བ་	VERB
འི་	གི་	PART
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
ཡང་དག་	ཡང་དག་	ADJ
མཚོན་	མཚོན་	NOUN
གྱིས་	གིས་	PART
བཅད་	བཅད་	VERB
། །		PUNCT
ཐོགས་བཅས་	ཐོགས་བཅས་	NO_POS
མཁའ་	མཁའ་	NOUN
དང་	དང་	NO_POS
ཡུལ་ཅན་	ཡུལ་ཅན་	NOUN
འདུ་ཤེས་	འདུ་ཤེས་	NOUN
རིམ་བཞིན་	རིམ་བཞིན་	NO_POS
བསལ་	བསལ་	VERB
ཏེ་	སྟེ་	PART
མཐའ་	མཐའ་	NOUN
གཉིས་	གཉིས་	NUM
སྤངས་པ་	སྤངས་པ་	VERB
འི་	གི་	PART
འདུ་ཤེས་	འདུ་ཤེས་	NOUN
ལ་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
། །		PUNCT
རྩོད་	རྩོད་	VERB
དང་	དང་	NO_POS
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
རྣམ་	རྣམ་	NOUN
གཉིས་	གཉིས་	NUM
བཀག་པ་	བཀག་པ་	VERB
འི་	གི་	PART
གནས་པ་	གནས་པ་	VERB
མཆོག་	མཆོག་	ADJ
གིས་	གིས་	PART
གནས་	གནས་	NOUN
མཛད་	མཛད་	VERB
འཕགས་མཆོག་	འཕགས་མཆོག་	OTHER
ལ་	ལ་	PART
བཏུད་	བཏུད་	NO_POS
ན་	ནས་	PART
། །		PUNCT
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
བཞག་	བཞག་	VERB
ས་ལས་	ས་ལས་	NO_POS
བརྒལ་	བརྒལ་	VERB
། །		PUNCT
ཐོགས་བཅས་	ཐོགས་བཅས་	NO_POS
སྣང་བ་	སྣང་བ་	VERB
ར་	ལ་	PART
རབ་	རབ་	ADV
བསལ་	བསལ་	VERB
ཏེ་	སྟེ་	PART
། །		PUNCT
ཚོ་	ཚོ་	VERB
འདུ་	འདུ་	VERB
ཞི་བ་	ཞི་བ་	VERB
ར་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
ཡི་	གི་	PART
། །		PUNCT
སྙོམས་འཇུག་	སྙོམས་འཇུག་	NO_POS
དགུ་	དགུ་	NUM
ཡི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
བྲི་	བྲི་	NO_POS
། །		PUNCT
མི་	མི་	PART
ཡི་	གི་	PART
སེང་གེ་	སེང་གེ་	NOUN
འི་	གི་	PART
གསུང་རབ་	གསུང་རབ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བསམ་གཏན་	བསམ་གཏན་	NOUN
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
།		PUNCT
གཟུགས་	གཟུགས་	NOUN
མེད་	མེད་	VERB
༼		PUNCT
		
༽		PUNCT
པ་	པ་	PART
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
།		PUNCT
འགོག་པ་	འགོག་པ་	VERB
འི་	གི་	PART
སྙོམས་པ་		
འཇུག་པ་	འཇུག་པ་	VERB
སྟེ་	སྟེ་	PART
མཐར་གྱིས་	མཐར་གྱིས་	NO_POS
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
སྙོམས་པ་		
འཇུག་པ་	འཇུག་པ་	VERB
དགུ་	དགུ་	NUM
གསུངས་པ་	གསུངས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
བརྒྱད་	བརྒྱད་	NUM
ནི་	ནི་	NO_POS
འཇིག་རྟེན་པ་	འཇིག་རྟེན་པ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
འདོད་པ་	འདོད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
འདས་པ་	འདས་པ་	VERB
འི་	གི་	PART
བདེ་བ་	བདེ་བ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཐོབ་པ་	ཐོབ་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདས་པ་	འདས་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
བརྟེན་པ་	བརྟེན་པ་	VERB
འི་	གི་	PART
གཞི་	གཞི་	NOUN
ཡིན་	ཡིན་	NO_POS
